endpoint,granularity,split,treatment,seed,eps,tau,dist,n_train,n_test,threshold,acc_mae,acc_rmse,acc_spearman,acc_n_exact,viol_violation_rate,viol_right_violation_rate,viol_left_violation_rate,viol_n_censored,dec_threshold,dec_false_safe_rate,dec_false_liability_rate,dec_balanced_accuracy,dec_decision_regret,dec_n_resolvable,dec_n_positive,dec_n_negative,cov90,cov90_width,exceed_ece,split_kind,fold,feature_set,anchor_weight,censored_weight
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,0,1.0,0.85,gaussian,1943,486,5.690369832574101,0.5280342590586939,0.7609832993547775,0.7831968832603413,450,0.5277777777777778,1.0,0.5142857142857142,36,5.690369832574101,0.15765765765765766,0.20306513409961685,0.8196386041213627,0.19695046785285056,483,222,261,0.56,1.2115910014546085,0.112612524208171,random,1,morgan,1.0,1.0
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,1,0.1,0.85,gaussian,1943,486,5.690369832574101,0.538521962075081,0.7756792984876387,0.7785725242722606,450,0.6944444444444444,1.0,0.6857142857142857,36,5.690369832574101,0.14864864864864866,0.23371647509578544,0.808817438127783,0.21010162021511,483,222,261,0.5777777777777777,1.176142123183275,0.12536341466374837,random,1,morgan,1.0,0.1
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,1,0.25,0.85,gaussian,1943,486,5.690369832574101,0.5429761644745316,0.7663674746293392,0.7762500419669295,450,0.5277777777777778,1.0,0.5142857142857142,36,5.690369832574101,0.18468468468468469,0.19923371647509577,0.8080407994201098,0.2106351521029739,483,222,261,0.6222222222222222,1.3486727765189899,0.10367843390030387,random,1,morgan,1.0,0.25
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,1,0.5,0.85,gaussian,1943,486,5.690369832574101,0.5435471516516669,0.7805340362918403,0.7738714536946498,450,0.6111111111111112,1.0,0.6,36,5.690369832574101,0.14414414414414414,0.24904214559386972,0.8034068551309931,0.2136537925257237,483,222,261,0.6066666666666667,1.3509901086838945,0.12388578532057033,random,1,morgan,1.0,0.5
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,1,0.75,0.85,gaussian,1943,486,5.690369832574101,0.5354777792143688,0.7709812130562291,0.7774477945387281,450,0.5833333333333334,1.0,0.5714285714285714,36,5.690369832574101,0.14864864864864866,0.2260536398467433,0.812648855752304,0.20364272077388648,483,222,261,0.5555555555555556,1.188082121814179,0.12054232595095912,random,1,morgan,1.0,0.75
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,1,1.0,0.85,gaussian,1943,486,5.690369832574101,0.553494046355682,0.7846218839807179,0.7802445039934836,450,0.5833333333333334,1.0,0.5714285714285714,36,5.690369832574101,0.12612612612612611,0.2681992337164751,0.8028373200786993,0.2111506745246825,483,222,261,0.5577777777777778,1.2108843392873672,0.12720736465510668,random,1,morgan,1.0,1.0
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,0,0.1,0.85,gaussian,1943,486,5.681936665037238,0.4937014322897977,0.6877819004604275,0.8127485502689725,445,0.926829268292683,1.0,0.9230769230769231,41,5.681936665037238,0.12053571428571429,0.22868217054263565,0.825391057585825,0.20099939842067785,482,224,258,0.5887640449438202,1.124126895726495,0.11004666797935182,random,2,morgan,1.0,0.1
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,0,0.25,0.85,gaussian,1943,486,5.681936665037238,0.5199245433561787,0.7308819172476616,0.8101700539037406,445,0.8536585365853658,1.0,0.8461538461538461,41,5.681936665037238,0.25,0.10077519379844961,0.8246124031007752,0.2038569396074676,482,224,258,0.6539325842696629,1.356738095550766,0.06874143091286981,random,2,morgan,1.0,0.25
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,0,0.5,0.85,gaussian,1943,486,5.681936665037238,0.4991611482433572,0.7035431775620663,0.8166649122881624,445,0.8536585365853658,1.0,0.8461538461538461,41,5.681936665037238,0.15178571428571427,0.17054263565891473,0.8388358250276855,0.18776007557091448,482,224,258,0.5707865168539326,1.172008798999831,0.0952927348957304,random,2,morgan,1.0,0.5
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,0,0.75,0.85,gaussian,1943,486,5.681936665037238,0.4906718923089988,0.686410343744108,0.8197529388187328,445,0.8780487804878049,1.0,0.8717948717948718,41,5.681936665037238,0.125,0.2131782945736434,0.8309108527131783,0.1915816611128662,482,224,258,0.5910112359550562,1.162046998264943,0.09976669050916873,random,2,morgan,1.0,0.75
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,0,1.0,0.85,gaussian,1943,486,5.681936665037238,0.4962723926667178,0.6884265070984487,0.8198433645917608,445,0.8292682926829268,1.0,0.8205128205128205,41,5.681936665037238,0.11607142857142858,0.22868217054263565,0.8276232004429679,0.1933371756102856,482,224,258,0.550561797752809,1.1422851527910491,0.10583669603041682,random,2,morgan,1.0,1.0
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,1,0.1,0.85,gaussian,1943,486,5.681936665037238,0.4850609721847277,0.6859361720972514,0.8180539148062348,445,0.926829268292683,1.0,0.9230769230769231,41,5.681936665037238,0.12946428571428573,0.2131782945736434,0.8286787098560354,0.1885670107198555,482,224,258,0.5393258426966292,1.076423944851575,0.10865890105935239,random,2,morgan,1.0,0.1
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,1,0.25,0.85,gaussian,1943,486,5.681936665037238,0.4903044703381238,0.694854167266651,0.8203093160713024,445,0.8536585365853658,1.0,0.8461538461538461,41,5.681936665037238,0.15625,0.1744186046511628,0.8346656976744187,0.18998848976459537,482,224,258,0.6314606741573033,1.2242661233105263,0.07532622137224064,random,2,morgan,1.0,0.25
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,1,0.5,0.85,gaussian,1943,486,5.681936665037238,0.4901091914587935,0.6915937608925932,0.8185970822696725,445,0.8780487804878049,1.0,0.8717948717948718,41,5.681936665037238,0.14732142857142858,0.1821705426356589,0.8352540143964562,0.18299078657349022,482,224,258,0.5528089887640449,1.0994497203894467,0.10194322777194649,random,2,morgan,1.0,0.5
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,1,0.75,0.85,gaussian,1943,486,5.681936665037238,0.4890034101248669,0.6885864532788362,0.8192387784180286,445,0.8536585365853658,1.0,0.8461538461538461,41,5.681936665037238,0.12946428571428573,0.2054263565891473,0.8325546788482835,0.18896823639967666,482,224,258,0.5595505617977528,1.1298143795685203,0.1102996712641447,random,2,morgan,1.0,0.75
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,1,1.0,0.85,gaussian,1943,486,5.681936665037238,0.5332074788042949,0.7422144325977024,0.8210818163687451,445,0.7804878048780488,1.0,0.7692307692307693,41,5.681936665037238,0.23660714285714285,0.12403100775193798,0.8196809246954595,0.19838796599039468,482,224,258,0.6629213483146067,1.4281037582110376,0.07913060849543709,random,2,morgan,1.0,1.0
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,0,0.1,0.85,gaussian,1943,486,5.6777807052660805,0.5171449976026897,0.7518164552758677,0.814811334321858,451,0.7142857142857143,1.0,0.7058823529411765,35,5.6777807052660805,0.1228813559322034,0.1532258064516129,0.8619464188080919,0.1653192383750795,484,236,248,0.6097560975609756,1.255698065003976,0.07207170999410284,random,3,morgan,1.0,0.1
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,0,0.25,0.85,gaussian,1943,486,5.6777807052660805,0.523260198675947,0.7509336524951048,0.813421345101425,451,0.7428571428571429,1.0,0.7352941176470589,35,5.6777807052660805,0.1016949152542373,0.18548387096774194,0.8564106068890105,0.16662791015402706,484,236,248,0.5609756097560976,1.235954499597533,0.06879914678263413,random,3,morgan,1.0,0.25
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,0,0.5,0.85,gaussian,1943,486,5.6777807052660805,0.5238576505101514,0.7533720693591921,0.8111838477469655,451,0.6857142857142857,1.0,0.6764705882352942,35,5.6777807052660805,0.1059322033898305,0.18548387096774194,0.8542919628212138,0.16854785645063797,484,236,248,0.5299334811529933,1.2012019426812848,0.07032788773876791,random,3,morgan,1.0,0.5
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,0,0.75,0.85,gaussian,1943,486,5.6777807052660805,0.5196832160870479,0.7565170369688853,0.8135944054388661,451,0.6,1.0,0.5882352941176471,35,5.6777807052660805,0.1271186440677966,0.1532258064516129,0.8598277747402953,0.1668579016617991,484,236,248,0.5898004434589801,1.261955779613488,0.07415310378459791,random,3,morgan,1.0,0.75
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,0,1.0,0.85,gaussian,1943,486,5.6777807052660805,0.5196263204948793,0.7549324924895193,0.8120604385127826,451,0.5714285714285714,1.0,0.5588235294117647,35,5.6777807052660805,0.1271186440677966,0.15725806451612903,0.8578116457080371,0.17179660043939293,484,236,248,0.6031042128603105,1.326392528506018,0.08025675192092256,random,3,morgan,1.0,1.0
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,1,0.1,0.85,gaussian,1943,486,5.6777807052660805,0.525715182571597,0.7546544654142568,0.8074284471253215,451,0.6857142857142857,1.0,0.6764705882352942,35,5.6777807052660805,0.09745762711864407,0.1975806451612903,0.8524808638600327,0.17501728698358943,484,236,248,0.5432372505543237,1.2016668835463649,0.07295396377840146,random,3,morgan,1.0,0.1
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,1,0.25,0.85,gaussian,1943,486,5.6777807052660805,0.5230256825551473,0.7547860224403556,0.8074261576224467,451,0.6571428571428571,1.0,0.6470588235294118,35,5.6777807052660805,0.11440677966101695,0.1814516129032258,0.8520708037178786,0.18246037334547174,484,236,248,0.6452328159645233,1.3963384666618737,0.07442372085204238,random,3,morgan,1.0,0.25
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,1,0.5,0.85,gaussian,1943,486,5.6777807052660805,0.5599629486719263,0.7951274122837594,0.8005747875625694,451,0.6,1.0,0.5882352941176471,35,5.6777807052660805,0.25,0.08870967741935484,0.8306451612903225,0.18993025458400564,484,236,248,0.6363636363636364,1.5079971818449693,0.0767012414123153,random,3,morgan,1.0,0.5
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,1,0.75,0.85,gaussian,1943,486,5.6777807052660805,0.5277957019601123,0.7619872249186179,0.8080510610785181,451,0.6,1.0,0.5882352941176471,35,5.6777807052660805,0.11864406779661017,0.1693548387096774,0.8560005467468562,0.17146270676660158,484,236,248,0.5232815964523282,1.19505794077253,0.06410074959940779,random,3,morgan,1.0,0.75
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,1,1.0,0.85,gaussian,1943,486,5.6777807052660805,0.5276239439221103,0.7626284666710393,0.8073530897735581,451,0.6,1.0,0.5882352941176471,35,5.6777807052660805,0.1228813559322034,0.1693548387096774,0.8538819026790596,0.17241608001204492,484,236,248,0.5388026607538803,1.2072952806187265,0.07612742239180759,random,3,morgan,1.0,1.0
ABCB1_IC50,measurement,random_fold4,weighted_tobit_anchor,0,0.1,0.85,gaussian,1944,485,5.698970004336019,0.5126253707241298,0.7125243308352975,0.8055333005261324,448,0.7297297297297297,1.0,0.7222222222222222,37,5.698970004336019,0.16666666666666666,0.1348314606741573,0.849250936329588,0.1846427328259302,483,216,267,0.5959821428571429,1.2967264199154207,0.07794219062846384,random,4,morgan,1.0,0.1
ABCB1_IC50,measurement,random_fold4,weighted_tobit_anchor,0,0.25,0.85,gaussian,1944,485,5.698970004336019,0.5072797927630199,0.7109136839045131,0.8039404010803992,448,0.7297297297297297,1.0,0.7222222222222222,37,5.698970004336019,0.1574074074074074,0.14606741573033707,0.8482625884311277,0.1823182231340127,483,216,267,0.5602678571428571,1.2176754802214174,0.10199996336068634,random,4,morgan,1.0,0.25
