endpoint,granularity,split,treatment,seed,eps,tau,dist,n_train,n_test,threshold,acc_mae,acc_rmse,acc_spearman,acc_n_exact,viol_violation_rate,viol_right_violation_rate,viol_left_violation_rate,viol_n_censored,dec_threshold,dec_false_safe_rate,dec_false_liability_rate,dec_balanced_accuracy,dec_decision_regret,dec_n_resolvable,dec_n_positive,dec_n_negative,cov90,cov90_width,exceed_ece,split_kind,fold,feature_set,anchor_weight,censored_weight
CYP1A2_IC50,measurement,random_fold1,weighted_tobit_anchor,1,8.0,0.85,gaussian,3712,928,5.429810095090708,0.6929030424240675,0.9857415620652269,0.6010097218569762,327,0.5707154742096506,0.7619047619047619,0.5637931034482758,601,5.429810095090708,0.2254335260115607,0.2773224043715847,0.7486220348084273,0.2488747991950906,905,173,732,0.41590214067278286,3.8843620190228547,0.22031264245908672,random,1,morgan,1.0,8.0
CYP1A2_IC50,measurement,random_fold2,weighted_tobit_anchor,0,2.0,0.85,gaussian,3712,928,5.431798275933005,0.663029623130503,0.9044197984029898,0.6830770258718428,326,0.5813953488372093,0.631578947368421,0.5797598627787307,602,5.431798275933005,0.19883040935672514,0.2630853994490358,0.7690420955971196,0.2524954461310842,897,171,726,0.450920245398773,4.553653394095216,0.21569901092088745,random,2,morgan,1.0,2.0
CYP1A2_IC50,measurement,random_fold2,weighted_tobit_anchor,0,4.0,0.85,gaussian,3712,928,5.431798275933005,0.664444748755703,0.9198925976073756,0.6924516026386384,326,0.5232558139534884,0.7368421052631579,0.516295025728988,602,5.431798275933005,0.23976608187134502,0.2327823691460055,0.7637257744913247,0.2399426457934635,897,171,726,0.44785276073619634,5.4382064595499235,0.1975593140162727,random,2,morgan,1.0,4.0
CYP1A2_IC50,measurement,random_fold2,weighted_tobit_anchor,0,8.0,0.85,gaussian,3712,928,5.431798275933005,0.6993593241172235,0.9424098114744595,0.6796659948080305,326,0.4850498338870432,0.7368421052631579,0.47684391080617494,602,5.431798275933005,0.2573099415204678,0.2162534435261708,0.7632183074766807,0.23692454969492371,897,171,726,0.4233128834355828,5.741898899209047,0.18486147717747684,random,2,morgan,1.0,8.0
CYP1A2_IC50,measurement,random_fold2,weighted_tobit_anchor,1,2.0,0.85,gaussian,3712,928,5.431798275933005,0.6547935169259143,0.9067238275502517,0.6861274696457412,326,0.5083056478405316,0.631578947368421,0.5042881646655232,602,5.431798275933005,0.21052631578947367,0.25206611570247933,0.7687037842540234,0.23388204523325548,897,171,726,0.5030674846625767,4.481301847908652,0.19203747856514236,random,2,morgan,1.0,2.0
CYP1A2_IC50,measurement,random_fold2,weighted_tobit_anchor,1,4.0,0.85,gaussian,3712,928,5.431798275933005,0.6763972688650234,0.9346322566869993,0.6841412952745911,326,0.6029900332225914,0.5263157894736842,0.6054888507718696,602,5.431798275933005,0.14619883040935672,0.32644628099173556,0.7636774442994538,0.26452696906176093,897,171,726,0.4662576687116564,5.974470136377752,0.22450789044368707,random,2,morgan,1.0,4.0
CYP1A2_IC50,measurement,random_fold2,weighted_tobit_anchor,1,8.0,0.85,gaussian,3712,928,5.431798275933005,0.6522624629622756,0.9102708712645866,0.6847845331202879,326,0.5647840531561462,0.631578947368421,0.5626072041166381,602,5.431798275933005,0.1695906432748538,0.28236914600550966,0.7740201053598182,0.25597740726676244,897,171,726,0.4723926380368098,6.369601076388499,0.21655643922524803,random,2,morgan,1.0,8.0
CYP1A2_IC50,measurement,random_fold3,weighted_tobit_anchor,0,2.0,0.85,gaussian,3712,928,5.387375089663561,0.7932101590328828,1.0702832901062536,0.6064365287357493,367,0.45811051693404636,0.7931034482758621,0.4398496240601504,561,5.387375089663561,0.3811659192825112,0.19230769230769232,0.7132631942048983,0.25251495518209904,899,223,676,0.3787465940054496,3.9861254653375364,0.19029113066641412,random,3,morgan,1.0,2.0
CYP1A2_IC50,measurement,random_fold3,weighted_tobit_anchor,0,4.0,0.85,gaussian,3712,928,5.387375089663561,0.7510876156582502,1.0523650942099099,0.5802198785520276,367,0.5793226381461676,0.7241379310344828,0.5714285714285714,561,5.387375089663561,0.2914798206278027,0.28402366863905326,0.7122482553665721,0.26366456209485084,899,223,676,0.37057220708446864,4.730257580359118,0.20462568995539898,random,3,morgan,1.0,4.0
CYP1A2_IC50,measurement,random_fold3,weighted_tobit_anchor,0,8.0,0.85,gaussian,3712,928,5.387375089663561,0.7440243943390112,1.032413140302688,0.5955622875712493,367,0.5525846702317291,0.7931034482758621,0.5394736842105263,561,5.387375089663561,0.3094170403587444,0.2485207100591716,0.7210311247910419,0.2630724526244366,899,223,676,0.3814713896457766,5.254375820013333,0.20117215937349114,random,3,morgan,1.0,8.0
CYP1A2_IC50,measurement,random_fold3,weighted_tobit_anchor,1,2.0,0.85,gaussian,3712,928,5.387375089663561,0.741248573690848,1.0275333299916671,0.5932005070238622,367,0.5811051693404634,0.6896551724137931,0.575187969924812,561,5.387375089663561,0.2825112107623318,0.2973372781065089,0.7100757555655797,0.2757741711670155,899,223,676,0.45776566757493187,3.7005924953915574,0.2147348090189083,random,3,morgan,1.0,2.0
CYP1A2_IC50,measurement,random_fold3,weighted_tobit_anchor,1,4.0,0.85,gaussian,3712,928,5.387375089663561,0.7703845181501984,1.0473089283276105,0.6010464446936705,367,0.5276292335115864,0.7586206896551724,0.5150375939849624,561,5.387375089663561,0.3811659192825112,0.22928994082840237,0.6947720699445432,0.2601586450668036,899,223,676,0.31607629427792916,3.6621316809620406,0.20700945792638303,random,3,morgan,1.0,4.0
CYP1A2_IC50,measurement,random_fold3,weighted_tobit_anchor,1,8.0,0.85,gaussian,3712,928,5.387375089663561,0.7570264986444817,1.043860949093734,0.6007817048378937,367,0.5436720142602496,0.7931034482758621,0.5300751879699248,561,5.387375089663561,0.33183856502242154,0.2470414201183432,0.7105600074296177,0.2744518766188128,899,223,676,0.4659400544959128,7.181246637861289,0.18317123021813908,random,3,morgan,1.0,8.0
CYP1A2_IC50,measurement,random_fold4,weighted_tobit_anchor,0,2.0,0.85,gaussian,3712,928,5.431798275933005,0.7247417436240516,1.025232323693763,0.6576354176137356,330,0.5250836120401338,0.8421052631578947,0.5146804835924007,598,5.431798275933005,0.2774566473988439,0.22268326417704012,0.749930044212058,0.22701025483244525,896,173,723,0.3878787878787879,2.824928647084818,0.1889092810223313,random,4,morgan,1.0,2.0
CYP1A2_IC50,measurement,random_fold4,weighted_tobit_anchor,0,4.0,0.85,gaussian,3712,928,5.431798275933005,0.7353515633669664,1.0289047360397576,0.663846855452095,330,0.5468227424749164,0.8947368421052632,0.5354058721934369,598,5.431798275933005,0.24277456647398843,0.24204702627939143,0.7575892036233101,0.23734091674080698,896,173,723,0.3939393939393939,4.327497111755743,0.1857115930878911,random,4,morgan,1.0,4.0
CYP1A2_IC50,measurement,random_fold4,weighted_tobit_anchor,0,8.0,0.85,gaussian,3712,928,5.431798275933005,0.7249012381754764,1.027429963272953,0.6594961273599972,330,0.5468227424749164,0.8947368421052632,0.5354058721934369,598,5.431798275933005,0.26011560693641617,0.22406639004149378,0.757909001511045,0.23142339527893047,896,173,723,0.42727272727272725,3.622795025383135,0.18248779069159438,random,4,morgan,1.0,8.0
CYP1A2_IC50,measurement,random_fold4,weighted_tobit_anchor,1,2.0,0.85,gaussian,3712,928,5.431798275933005,0.7192914534734247,1.009013974116158,0.6680159205682475,330,0.47324414715719065,0.8421052631578947,0.46113989637305697,598,5.431798275933005,0.2832369942196532,0.1991701244813278,0.7587964406495096,0.21919030982119095,896,173,723,0.4303030303030303,2.844582008683055,0.17837307583307385,random,4,morgan,1.0,2.0
CYP1A2_IC50,measurement,random_fold4,weighted_tobit_anchor,1,4.0,0.85,gaussian,3712,928,5.431798275933005,0.7229503956746217,1.018360407096171,0.6729139751632388,330,0.4866220735785953,0.8947368421052632,0.47322970639032813,598,5.431798275933005,0.2774566473988439,0.2074688796680498,0.7575372364665531,0.23077765300366668,896,173,723,0.5242424242424243,4.009636647887393,0.16942336719240655,random,4,morgan,1.0,4.0
CYP1A2_IC50,measurement,random_fold4,weighted_tobit_anchor,1,8.0,0.85,gaussian,3712,928,5.431798275933005,0.7110693374784519,1.009756371001322,0.6714411359069777,330,0.520066889632107,0.8947368421052632,0.5077720207253886,598,5.431798275933005,0.24277456647398843,0.24204702627939143,0.7575892036233101,0.22749623876279929,896,173,723,0.4727272727272727,3.1639426289018515,0.17744794673513398,random,4,morgan,1.0,8.0
CYP2C19_IC50,measurement,random_fold0,weighted_tobit_anchor,0,2.0,0.85,gaussian,3134,784,5.0915149811213505,0.6379459392627163,0.895701224727513,0.40791415296899314,343,0.46485260770975056,0.55,0.46080760095011875,441,5.0915149811213505,0.31351351351351353,0.26148409893992935,0.7125011937732786,0.28286234475948685,751,185,566,0.40524781341107874,1.1318723867480192,0.2231423157792331,random,0,morgan,1.0,2.0
CYP2C19_IC50,measurement,random_fold0,weighted_tobit_anchor,0,4.0,0.85,gaussian,3134,784,5.0915149811213505,0.6673769893460065,0.9289441521375931,0.4070082968054809,343,0.30839002267573695,0.7,0.28978622327790976,441,5.0915149811213505,0.4864864864864865,0.15371024734982333,0.679901633081845,0.24594937458799973,751,185,566,0.42565597667638483,1.795689027951089,0.1696800395493291,random,0,morgan,1.0,4.0
CYP2C19_IC50,measurement,random_fold0,weighted_tobit_anchor,0,8.0,0.85,gaussian,3134,784,5.0915149811213505,0.6331002056490571,0.8996929583553707,0.41636335830764903,343,0.38095238095238093,0.75,0.36342042755344417,441,5.0915149811213505,0.41621621621621624,0.20318021201413428,0.6903017858848248,0.2576597028606903,751,185,566,0.4139941690962099,2.534501901794589,0.1914553083871768,random,0,morgan,1.0,8.0
