endpoint,granularity,split,treatment,seed,eps,tau,dist,n_train,n_test,threshold,acc_mae,acc_rmse,acc_spearman,acc_n_exact,viol_violation_rate,viol_right_violation_rate,viol_left_violation_rate,viol_n_censored,dec_threshold,dec_false_safe_rate,dec_false_liability_rate,dec_balanced_accuracy,dec_decision_regret,dec_n_resolvable,dec_n_positive,dec_n_negative,cov90,cov90_width,exceed_ece,constraint_fraction_q_ge_tau,constraint_mean_probability_shortfall,constraint_mean_probability,constraint_G_left,constraint_lambda_left,split_kind,fold,feature_set,constraint_G_right,constraint_lambda_right
CYP2C19_IC50,measurement,random_fold0,satisficing,1,0.05,0.85,gaussian,3134,784,5.0915149811213505,0.6145817601259336,0.9020488930704635,0.4142017642418287,343,0.3401360544217687,0.55,0.33016627078384797,441,5.0915149811213505,0.3891891891891892,0.1519434628975265,0.7294336739566422,0.21979960418992966,751,185,566,0.3556851311953353,0.5267742462935572,0.1726479135116367,0.6815358554488989,0.06799860456087863,0.8615290055292656,0.02356036566197872,10.125600814819336,random,0,morgan,0.05627458170056343,0.6274581551551819
CYP2C19_IC50,measurement,random_fold1,satisficing,0,0.05,0.85,gaussian,3134,784,5.086186147616283,0.5905451061848023,0.8498709812621382,0.4722851288155862,349,0.4045977011494253,0.625,0.39172749391727496,435,5.086186147616283,0.3435897435897436,0.21415607985480944,0.7211270882777234,0.25600465915783754,746,195,551,0.2836676217765043,0.44031395462334616,0.22166119445435392,0.5396736072031514,0.12643507017893632,0.7909183219583408,0.028422225266695023,4.378964424133301,random,1,morgan,0.05731312558054924,0.7313125729560852
CYP2C19_IC50,measurement,random_fold1,satisficing,1,0.05,0.85,gaussian,3134,784,5.086186147616283,0.5904378786075037,0.8510270538895544,0.4835045964315435,349,0.4091954022988506,0.625,0.39659367396593675,435,5.086186147616283,0.3641025641025641,0.18148820326678766,0.7272046163153241,0.25021583019219673,746,195,551,0.45272206303724927,0.793197682695389,0.18191187975139475,0.45526167698368036,0.18003262816185833,0.721364380417574,0.04196001961827278,0.0,random,1,morgan,0.03591102734208107,0.0
CYP2C19_IC50,measurement,random_fold2,satisficing,0,0.05,0.85,gaussian,3134,784,5.0915149811213505,0.5721308019962223,0.8119079848658411,0.5231691770788631,344,0.30454545454545456,0.38095238095238093,0.30071599045346065,440,5.0915149811213505,0.42105263157894735,0.14031971580817051,0.7193138263064411,0.22046916479519674,753,190,563,0.4331395348837209,0.7366400987594813,0.15088981076880192,0.6980812641083521,0.07279055874132533,0.8566338204782641,0.05738873407244682,0.7388734221458435,random,2,morgan,0.02416134439408779,0.7084023952484131
CYP2C19_IC50,measurement,random_fold2,satisficing,1,0.05,0.85,gaussian,3134,784,5.0915149811213505,0.5663754429871707,0.7955628678020783,0.5189025168548598,344,0.3704545454545455,0.38095238095238093,0.36992840095465396,440,5.0915149811213505,0.3894736842105263,0.18650088809946713,0.7120127138450032,0.2449817147862516,753,190,563,0.436046511627907,0.792296395454743,0.17085754712068357,0.5045146726862303,0.13520689232661018,0.7717590566143694,0.035904355347156525,4.1223931312561035,random,2,morgan,0.06789159029722214,1.7891590595245361
CYP2C19_IC50,measurement,random_fold3,satisficing,0,0.05,0.85,gaussian,3135,783,5.096910013008056,0.5923059552311898,0.8401230673883179,0.47276981384259353,346,0.2951945080091533,0.4482758620689655,0.28431372549019607,437,5.096910013008056,0.391304347826087,0.1453900709219858,0.7316527906259636,0.22275638906185988,748,184,564,0.4479768786127168,0.7293764975912671,0.15835101148833453,0.5802816901408451,0.07877715460358482,0.8328489531303672,0.053386371582746506,3.234417200088501,random,3,morgan,0.015184862539172173,0.0
CYP2C19_IC50,measurement,random_fold3,satisficing,1,0.05,0.85,gaussian,3135,783,5.096910013008056,0.5768419542003136,0.8338844675625027,0.47922613416676896,346,0.34096109839816935,0.4482758620689655,0.3333333333333333,437,5.096910013008056,0.358695652173913,0.18617021276595744,0.7275670675300647,0.2286134265583062,748,184,564,0.29190751445086704,0.38697347497842255,0.18924357057641222,0.5554929577464789,0.12480446808213717,0.7962331210120009,0.025820879265666008,2.381186008453369,random,3,morgan,0.05869756266474724,0.869756281375885
CYP2C19_IC50,measurement,random_fold4,satisficing,0,0.05,0.85,gaussian,3135,783,5.096910013008056,0.5543275915386688,0.8140675054537884,0.505228524999173,324,0.35294117647058826,0.42857142857142855,0.3480278422273782,459,5.096910013008056,0.3411764705882353,0.15689655172413794,0.7509634888438134,0.21375041442860304,750,170,580,0.38271604938271603,0.543050157488016,0.1761371273428233,0.7027952082144895,0.08474102708200323,0.8497017651163032,0.04399728775024414,1.2530124187469482,random,4,morgan,0.04259680584073067,0.0
CYP2C19_IC50,measurement,random_fold4,satisficing,1,0.05,0.85,gaussian,3135,783,5.096910013008056,0.5558010543102336,0.8135794750204745,0.5163824169603696,324,0.3289760348583878,0.35714285714285715,0.3271461716937355,459,5.096910013008056,0.38235294117647056,0.14482758620689656,0.7364097363083164,0.20700050427822642,750,170,580,0.35185185185185186,0.47767051556674817,0.17200752646346643,0.8374215630347975,0.04904409352946001,0.9019489346349512,0.03933390602469444,2.7336654663085938,random,4,morgan,0.026563948020339012,0.0
CYP2C19_IC50,measurement,scaffold_fold0,satisficing,0,0.05,0.85,gaussian,3127,791,5.0915149811213505,0.6569031954157756,0.9009346364369557,0.4465758324932755,329,0.24025974025974026,0.76,0.21052631578947367,462,5.0915149811213505,0.5191256830601093,0.09947643979057591,0.6906989385746574,0.21154800675455582,756,183,573,0.47416413373860183,1.0501758116721334,0.1323052088141941,0.7462857142857143,0.05733221267476341,0.8737394487186081,0.06292059272527695,3.719426155090332,scaffold,0,morgan,0.03114844672381878,0.0
CYP2C19_IC50,measurement,scaffold_fold0,satisficing,1,0.05,0.85,gaussian,3127,791,5.0915149811213505,0.5839459163473009,0.8245825405060627,0.4370476484493409,329,0.3116883116883117,0.6,0.2951945080091533,462,5.0915149811213505,0.3825136612021858,0.15357766143106458,0.7319543386833749,0.23326198756075042,756,183,573,0.513677811550152,0.9431228236339271,0.1317057712451125,0.4794285714285714,0.13236598246613837,0.7710841161361965,0.04517919197678566,1.3062422275543213,scaffold,0,morgan,0.05278724059462547,2.6578094959259033
CYP2C19_IC50,measurement,scaffold_fold1,satisficing,0,0.05,0.85,gaussian,3141,777,5.096910013008056,0.6584129817890481,0.9442840864506618,0.3762592471650938,342,0.45977011494252873,0.47368421052631576,0.45913461538461536,435,5.096910013008056,0.4024390243902439,0.24390243902439024,0.6768292682926829,0.2889450464784575,738,164,574,0.37719298245614036,0.667095774730157,0.23022608367007924,0.41980866629150254,0.21468367243872952,0.6852339557506781,0.03737499937415123,0.0,scaffold,1,morgan,0.06314683705568314,1.6712915897369385
CYP2C19_IC50,measurement,scaffold_fold1,satisficing,1,0.05,0.85,gaussian,3141,777,5.096910013008056,0.6680185012401197,0.947831730212258,0.40374179198146387,342,0.3954022988505747,0.5263157894736842,0.3894230769230769,435,5.096910013008056,0.47560975609756095,0.20557491289198607,0.6594076655052266,0.26778231161600957,738,164,574,0.32456140350877194,0.5946518939866696,0.22023732827788353,0.5120990433314575,0.14613659008239363,0.7642263266970791,0.08726941049098969,3.7269411087036133,scaffold,1,morgan,0.028489047661423683,0.0
CYP2C19_IC50,measurement,scaffold_fold2,satisficing,0,0.05,0.85,gaussian,3133,785,5.080921907623926,0.7899526058550976,1.1498430023617978,0.3182868412987829,357,0.3247663551401869,0.5,0.31435643564356436,428,5.080921907623926,0.5240384615384616,0.1299638989169675,0.6729988197722855,0.254475816981263,762,208,554,0.41456582633053224,0.8742090459045687,0.17508257643588576,0.6440582959641256,0.08028455474064727,0.8391755119668928,0.047146257013082504,2.5146894454956055,scaffold,2,morgan,0.048038385808467865,1.744602084159851
CYP2C19_IC50,measurement,scaffold_fold2,satisficing,1,0.05,0.85,gaussian,3133,785,5.080921907623926,0.8171896199816324,1.1451595593269328,0.31237275643377993,357,0.29906542056074764,0.5416666666666666,0.28465346534653463,428,5.080921907623926,0.5913461538461539,0.10649819494584838,0.6510778256039988,0.24623129601697724,762,208,554,0.2969187675070028,0.776009263236104,0.19433076584367878,0.7651345291479821,0.0599336615293457,0.8771178814312988,0.07214470952749252,4.783143997192383,scaffold,2,morgan,0.027973219752311707,0.0
CYP2C19_IC50,measurement,scaffold_fold3,satisficing,0,0.05,0.85,gaussian,3124,794,5.086186147616283,0.7239880967841762,0.9765735905464312,0.3443632122116415,351,0.309255079006772,0.6428571428571429,0.28674698795180725,443,5.086186147616283,0.5714285714285714,0.15232974910394265,0.6381208397337429,0.2670330805964741,761,203,558,0.33048433048433046,0.5793933399363557,0.2190628862048516,0.8722442057659695,0.04447015723519393,0.9104199471762014,0.03162385895848274,8.386409759521484,scaffold,3,morgan,0.04168892651796341,0.0
CYP2C19_IC50,measurement,scaffold_fold3,satisficing,1,0.05,0.85,gaussian,3124,794,5.086186147616283,0.6962992639848045,0.9218516917052503,0.3519638461362836,351,0.46275395033860045,0.2857142857142857,0.4746987951807229,443,5.086186147616283,0.3399014778325123,0.2777777777777778,0.6911603721948549,0.30106384020129856,761,203,558,0.2905982905982906,0.5447144521448933,0.26012830388973446,0.41492368569813454,0.248008429268458,0.6537249007996547,0.020736845210194588,0.9390230178833008,scaffold,3,morgan,0.08652406185865402,3.6524062156677246
CYP2C19_IC50,measurement,scaffold_fold4,satisficing,0,0.05,0.85,gaussian,3147,771,5.096910013008056,0.6010724066964039,0.7933887811463723,0.5494557950462954,327,0.30855855855855857,0.5,0.2966507177033493,444,5.096910013008056,0.3699421965317919,0.12857142857142856,0.7507431874483897,0.20507599388682743,733,173,560,0.5412844036697247,1.076567130765017,0.11432719455304118,0.5509049773755657,0.09661805855976764,0.8088186159400409,0.049860816448926926,4.135337829589844,scaffold,4,morgan,0.05016261339187622,0.01626133918762207
CYP2C19_IC50,measurement,scaffold_fold4,satisficing,1,0.05,0.85,gaussian,3147,771,5.096910013008056,0.6070966488568298,0.7940852354572303,0.5463545571833529,327,0.28378378378378377,0.6538461538461539,0.2607655502392344,444,5.096910013008056,0.41040462427745666,0.10535714285714286,0.7421191164327003,0.17774857354130133,733,173,560,0.22018348623853212,0.46893466598663197,0.14801096789628684,0.9055429864253394,0.039759711244499736,0.9238970890567225,0.08665560185909271,6.182181358337402,scaffold,4,morgan,0.030976273119449615,0.0
