endpoint,target_key,target_chembl_id,standard_type,assay_type,raw_rows,core_clean_rows,strict_candidate_rows,unique_compounds_core,unique_parent_compounds_core,exact_pct,censored_pct,left_censored_p_pct,right_censored_p_pct,exact_n,censored_n,left_censored_p_n,right_censored_p_n,earliest_year,latest_year,rows_with_year_pct,median_p_value,relation_values_seen,units_seen,validity_flags_seen,pass_gate
CYP1A2_AC50_F,CYP1A2,CHEMBL3356,AC50,F,17143,9817,0,9630,9608,1.0,0.0,0.0,0.0,9817,0,0,0,,,0.0,5.200000237109354,=,nM,Outside typical range,False
CYP2C19_AC50_F,CYP2C19,CHEMBL3622,AC50,F,17143,8948,0,8877,8874,1.0,0.0,0.0,0.0,8948,0,0,0,,,0.0,5.100000128334196,=,nM,Outside typical range,False
CYP3A4_AC50_F,CYP3A4,CHEMBL340,AC50,F,17143,8806,0,8635,8619,1.0,0.0,0.0,0.0,8806,0,0,0,,,0.0,5.049999969853415,=,nM,Outside typical range,False
CYP2C9_AC50_F,CYP2C9,CHEMBL3397,AC50,F,17143,7299,0,7237,7230,1.0,0.0,0.0,0.0,7299,0,0,0,,,0.0,5.100000128334196,=,nM,Outside typical range,False
CYP2D6_AC50_F,CYP2D6,CHEMBL289,AC50,F,17143,5678,0,5473,5453,1.0,0.0,0.0,0.0,5678,0,0,0,,,0.0,5.0,=,nM,Outside typical range,False
hERG_AC50_F,hERG,CHEMBL240,AC50,F,1822,1809,0,1791,1791,0.2741846323935876,0.7258153676064124,0.7258153676064124,0.0,496,1313,1313,0,2023,2023,1.0,4.522878745280337,=;>,nM,Outside typical range,False
ABCB1_Ki_F,ABCB1,CHEMBL4302,Ki,F,66,66,0,32,32,0.9242424242424242,0.07575757575757576,0.07575757575757576,0.0,61,5,5,0,1994,2003,1.0,4.860677493120805,=;>,nM,Outside typical range,False
CYP2C19_Ki_B,CYP2C19,CHEMBL3622,Ki,B,871,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,,,0.0,,,,,False
CYP2C9_Ki_B,CYP2C9,CHEMBL3397,Ki,B,871,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,,,0.0,,,,,False
CYP2D6_Ki_B,CYP2D6,CHEMBL289,Ki,B,871,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,,,0.0,,,,,False
hERG_Potency_F,hERG,CHEMBL240,Potency,F,679,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,,,0.0,,,nM,,False
